Order_ID,Order_Date,Region,Category,Sub_Category,Sales,Quantity,Profit
ORD100041,2019-01-02 19:07:11.072621452,Asia,Technology,Phones,981.96,11,216.1
ORD100042,2019-01-02 20:10:17.196343926,South America,Office Supplies,Chairs,1491.68,3,77.46
ORD100043,2019-01-02 21:13:23.320066401,Europe,Office Supplies,Chairs,3691.47,14,383.36
ORD100044,2019-01-02 22:16:29.443788875,Europe,Office Supplies,Chairs,2324.41,14,196.52
ORD100045,2019-01-02 23:19:35.567511350,Asia,Office Supplies,Phones,3138.03,2,279.19
ORD100046,2019-01-03 00:22:41.691233824,Europe,Furniture,Phones,785.13,6,-4.16
ORD100047,2019-01-03 01:25:47.814956299,Africa,Office Supplies,Chairs,3635.4,14,288.86
ORD100048,2019-01-03 02:28:53.938678773,Europe,Technology,Phones,539.56,14,119.26
ORD100049,2019-01-03 03:32:00.062401248,South America,Technology,Storage,3216.18,5,732.23
ORD100050,2019-01-03 04:35:06.186123722,South America,Office Supplies,Storage,1668.81,14,128.66
ORD100051,2019-01-03 05:38:12.309846196,South America,Furniture,Storage,2835.89,4,152.2
ORD100052,2019-01-03 06:41:18.433568671,South America,Office Supplies,Binders,4149.22,3,282.41
ORD100053,2019-01-03 07:44:24.557291145,Africa,Office Supplies,Accessories,495.63,4,53.65
ORD100054,2019-01-03 08:47:30.681013620,North America,Technology,Tables,934.85,2,197.24
ORD100055,2019-01-03 09:50:36.804736094,Asia,Furniture,Accessories,1661.09,2,110.09
ORD100056,2019-01-03 10:53:42.928458569,South America,Furniture,Accessories,2627.56,7,56.68
ORD100057,2019-01-03 11:56:49.052181043,Europe,Technology,Chairs,942.57,3,162.98
ORD100058,2019-01-03 12:59:55.175903518,South America,Technology,Paper,813.21,12,156.89
ORD100059,2019-01-03 14:03:01.299625992,Europe,Technology,Storage,5141.93,12,967.45
ORD100060,2019-01-03 15:06:07.423348466,Europe,Furniture,Tables,3491.86,1,-0.32
ORD100061,2019-01-03 16:09:13.547070941,South America,Technology,Storage,4368.42,3,747.95
ORD100062,2019-01-03 17:12:19.670793415,Africa,Technology,Phones,2990.42,14,675.59
ORD100063,2019-01-03 18:15:25.794515890,Europe,Technology,Binders,3760.29,5,596.51
ORD100064,2019-01-03 19:18:31.918238364,Europe,Office Supplies,Binders,2109.5,3,236.54
ORD100065,2019-01-03 20:21:38.041960839,South America,Furniture,Storage,3090.79,5,-73.39
ORD100066,2019-01-03 21:24:44.165683313,Europe,Furniture,Phones,980.13,5,95.05
ORD100067,2019-01-03 22:27:50.289405788,Europe,Office Supplies,Storage,2175.46,7,259.3
ORD100068,2019-01-03 23:30:56.413128262,South America,Furniture,Chairs,4067.29,7,39.69
ORD100069,2019-01-04 00:34:02.536850737,South America,Technology,Paper,1340.67,12,333.53
ORD100070,2019-01-04 01:37:08.660573211,Asia,Office Supplies,Chairs,337.68,5,37.43
ORD100071,2019-01-04 02:40:14.784295685,Africa,Technology,Accessories,459.14,7,72.66
ORD100072,2019-01-04 03:43:20.908018160,Africa,Technology,Tables,4015.77,5,982.79
ORD100073,2019-01-04 04:46:27.031740634,Europe,Technology,Tables,5890.05,6,908.55
ORD100074,2019-01-04 05:49:33.155463109,Africa,Technology,Tables,1697.05,1,285.43
ORD100075,2019-01-04 06:52:39.279185583,Europe,Furniture,Paper,180.12,13,6.79
ORD100076,2019-01-04 07:55:45.402908058,Asia,Office Supplies,Accessories,2975.63,2,165.6
ORD100077,2019-01-04 08:58:51.526630532,South America,Office Supplies,Storage,2328.2,8,142.77
ORD100078,2019-01-04 10:01:57.650353007,South America,Technology,Paper,1742.9,5,427.62
ORD100079,2019-01-04 11:05:03.774075481,South America,Office Supplies,Paper,60.05,8,7.18
ORD100080,2019-01-04 12:08:09.897797956,Africa,Office Supplies,Accessories,3437.14,7,363.89
ORD100081,2019-01-04 13:11:16.021520430,Asia,Technology,Paper,2521.31,6,508.1
ORD100082,2019-01-04 14:14:22.145242904,Africa,Technology,Storage,3388.98,2,813.46
ORD100083,2019-01-04 15:17:28.268965379,Africa,Furniture,Binders,3658.74,7,-121.53
ORD100084,2019-01-04 16:20:34.392687853,Asia,Furniture,Chairs,900.12,4,82.3
ORD100085,2019-01-04 17:23:40.516410328,Asia,Technology,Paper,867.84,11,160.69
ORD100086,2019-01-04 18:26:46.640132802,Asia,Furniture,Phones,2760.67,10,218.71
ORD100087,2019-01-04 19:29:52.763855277,Asia,Furniture,Phones,3095.13,6,155.55
ORD100088,2019-01-04 20:32:58.887577751,South America,Office Supplies,Binders,1714.76,4,201.0
ORD100089,2019-01-04 21:36:05.011300226,North America,Technology,Paper,239.9,5,56.73
ORD100090,2019-01-04 22:39:11.135022700,North America,Office Supplies,Tables,295.29,5,33.12
ORD100091,2019-01-04 23:42:17.258745174,Asia,Office Supplies,Paper,1100.92,6,103.73
ORD100092,2019-01-05 00:45:23.382467649,North America,Technology,Storage,1595.67,2,372.29
ORD100093,2019-01-05 01:48:29.506190123,North America,Office Supplies,Tables,1220.49,3,125.71
ORD100094,2019-01-05 02:51:35.629912598,Asia,Furniture,Chairs,2579.01,11,-66.43
ORD100095,2019-01-05 03:54:41.753635072,North America,Furniture,Storage,267.99,12,12.67
ORD100096,2019-01-05 04:57:47.877357547,Africa,Furniture,Storage,1038.16,10,-28.83
ORD100097,2019-01-05 06:00:54.001080021,Europe,Furniture,Binders,3545.89,8,285.16
ORD100098,2019-01-05 07:04:00.124802496,Europe,Furniture,Binders,691.16,3,-27.72
ORD100099,2019-01-05 08:07:06.248524970,Asia,Office Supplies,Accessories,955.07,12,113.74
ORD100100,2019-01-05 09:10:12.372247445,South America,Technology,Binders,2776.98,5,527.8
ORD100101,2019-01-05 10:13:18.495969919,Asia,Office Supplies,Accessories,655.09,14,40.58
ORD100102,2019-01-05 11:16:24.619692393,South America,Office Supplies,Tables,2637.62,5,304.64
ORD100103,2019-01-05 12:19:30.743414868,Europe,Furniture,Tables,143.89,11,-6.21
ORD100104,2019-01-05 13:22:36.867137342,Asia,Furniture,Paper,2114.07,7,43.37
ORD100105,2019-01-05 14:25:42.990859817,Africa,Office Supplies,Phones,1850.83,12,192.33
ORD100106,2019-01-05 15:28:49.114582291,North America,Office Supplies,Accessories,462.15,2,33.35
ORD100107,2019-01-05 16:31:55.238304766,South America,Technology,Accessories,4914.68,14,997.11
ORD100108,2019-01-05 17:35:01.362027240,North America,Technology,Tables,639.99,6,140.82
ORD100109,2019-01-05 18:38:07.485749715,North America,Technology,Phones,3412.31,11,836.69
ORD100110,2019-01-05 19:41:13.609472189,Asia,Technology,Chairs,5774.79,6,925.53
ORD100111,2019-01-05 20:44:19.733194663,North America,Technology,Storage,1050.8,5,174.14
ORD100112,2019-01-05 21:47:25.856917138,Africa,Furniture,Tables,2823.14,6,74.34
ORD100113,2019-01-05 22:50:31.980639612,North America,Technology,Storage,5950.52,13,1141.59
ORD100114,2019-01-05 23:53:38.104362087,Asia,Office Supplies,Binders,862.73,3,67.95
ORD100115,2019-01-06 00:56:44.228084561,Africa,Furniture,Binders,111.01,2,-0.61
ORD100116,2019-01-06 01:59:50.351807036,Europe,Office Supplies,Chairs,106.42,1,9.5
ORD100117,2019-01-06 03:02:56.475529510,North America,Furniture,Paper,1038.31,8,85.65
ORD100118,2019-01-06 04:06:02.599251985,Asia,Furniture,Binders,3508.86,10,-90.74
ORD100119,2019-01-06 05:09:08.722974459,Europe,Technology,Storage,2327.46,2,399.23
ORD100120,2019-01-06 06:12:14.846696933,Europe,Office Supplies,Tables,2027.39,4,196.57
ORD100121,2019-01-06 07:15:20.970419408,South America,Technology,Tables,452.08,7,70.35
ORD100122,2019-01-06 08:18:27.094141882,Africa,Office Supplies,Accessories,3066.57,13,297.96
ORD100123,2019-01-06 09:21:33.217864357,North America,Office Supplies,Accessories,1304.96,3,93.97
ORD100124,2019-01-06 10:24:39.341586831,Asia,Technology,Paper,5003.32,8,929.54
ORD100125,2019-01-06 11:27:45.465309306,South America,Technology,Binders,135.87,5,25.89
ORD100126,2019-01-06 12:30:51.589031780,Africa,Furniture,Storage,3377.37,7,8.23
ORD100127,2019-01-06 13:33:57.712754255,South America,Furniture,Tables,2446.96,12,186.41
ORD100128,2019-01-06 14:37:03.836476729,Africa,Furniture,Phones,1053.79,2,96.85
ORD100129,2019-01-06 15:40:09.960199204,Africa,Office Supplies,Phones,2700.14,1,238.59
ORD100130,2019-01-06 16:43:16.083921678,North America,Technology,Tables,3263.28,13,679.38
ORD100131,2019-01-06 17:46:22.207644152,Africa,Furniture,Tables,2545.26,10,-100.35
ORD100132,2019-01-06 18:49:28.331366627,South America,Technology,Tables,4548.57,3,1006.68
ORD100133,2019-01-06 19:52:34.455089101,Africa,Furniture,Accessories,403.77,7,15.19
ORD100134,2019-01-06 20:55:40.578811576,North America,Furniture,Storage,3413.87,4,-144.89
ORD100135,2019-01-06 21:58:46.702534050,North America,Technology,Tables,2786.33,8,473.24
ORD100136,2019-01-06 23:01:52.826256525,South America,Furniture,Paper,4205.56,3,-82.89
ORD100137,2019-01-07 00:04:58.949978999,Europe,Technology,Accessories,6201.3,14,1036.22
ORD100138,2019-01-07 01:08:05.073701474,Europe,Furniture,Storage,3288.52,10,160.47
ORD100139,2019-01-07 02:11:11.197423948,Africa,Technology,Tables,5475.36,1,1329.66
ORD100140,2019-01-07 03:14:17.321146422,Asia,Furniture,Paper,4393.19,8,283.12
ORD100141,2019-01-07 04:17:23.444868897,Africa,Furniture,Phones,3387.04,6,73.18
ORD100142,2019-01-07 05:20:29.568591371,South America,Office Supplies,Tables,3605.68,4,282.27
ORD100143,2019-01-07 06:23:35.692313846,South America,Technology,Binders,5572.61,10,1051.25
ORD100144,2019-01-07 07:26:41.816036320,South America,Furniture,Chairs,1423.28,13,57.2
ORD100145,2019-01-07 08:29:47.939758795,South America,Office Supplies,Binders,2136.04,9,160.51
ORD100146,2019-01-07 09:32:54.063481269,South America,Technology,Storage,5990.94,4,1034.11
ORD100147,2019-01-07 10:36:00.187203744,North America,Furniture,Accessories,3651.34,6,147.61
ORD100148,2019-01-07 11:39:06.310926218,Europe,Furniture,Accessories,2528.85,4,21.76
ORD100149,2019-01-07 12:42:12.434648693,South America,Furniture,Phones,2163.33,8,-103.58
ORD100150,2019-01-07 13:45:18.558371167,Asia,Technology,Tables,641.13,6,97.6
ORD100151,2019-01-07 14:48:24.682093641,Asia,Office Supplies,Phones,1085.65,14,75.12
ORD100152,2019-01-07 15:51:30.805816116,Asia,Furniture,Binders,2515.03,13,67.56
ORD100153,2019-01-07 16:54:36.929538590,Asia,Office Supplies,Tables,2164.58,3,161.9
ORD100154,2019-01-07 17:57:43.053261065,North America,Technology,Paper,5613.25,8,855.49
ORD100155,2019-01-07 19:00:49.176983539,Asia,Technology,Binders,5577.88,10,961.15
ORD100156,2019-01-07 20:03:55.300706014,South America,Furniture,Paper,2633.07,2,-93.57
ORD100157,2019-01-07 21:07:01.424428488,Africa,Furniture,Chairs,3067.38,2,283.1
ORD100158,2019-01-07 22:10:07.548150963,Asia,Furniture,Storage,1814.3,12,-5.58
ORD100159,2019-01-07 23:13:13.671873437,North America,Office Supplies,Binders,255.49,6,13.04
ORD100160,2019-01-08 00:16:19.795595912,North America,Office Supplies,Binders,1171.17,13,112.71
ORD100161,2019-01-08 01:19:25.919318386,Asia,Furniture,Phones,2507.74,12,-37.95
ORD100162,2019-01-08 02:22:32.043040860,Africa,Technology,Tables,3440.47,14,711.05
ORD100163,2019-01-08 03:25:38.166763335,Asia,Technology,Storage,3843.69,4,634.5
ORD100164,2019-01-08 04:28:44.290485809,North America,Furniture,Phones,2564.23,6,250.27
ORD100165,2019-01-08 05:31:50.414208284,Europe,Office Supplies,Paper,309.44,5,36.49
ORD100166,2019-01-08 06:34:56.537930758,South America,Technology,Paper,105.51,7,22.75
ORD100167,2019-01-08 07:38:02.661653233,North America,Office Supplies,Chairs,757.69,9,75.39
ORD100168,2019-01-08 08:41:08.785375707,Asia,Furniture,Binders,2181.79,1,30.29
ORD100169,2019-01-08 09:44:14.909098182,South America,Office Supplies,Tables,1332.44,13,156.37
ORD100170,2019-01-08 10:47:21.032820656,Asia,Office Supplies,Binders,2342.68,9,186.62
ORD100171,2019-01-08 11:50:27.156543130,Asia,Office Supplies,Binders,1934.3,11,129.14
ORD100172,2019-01-08 12:53:33.280265605,Europe,Technology,Accessories,1205.28,10,194.7
ORD100173,2019-01-08 13:56:39.403988079,South America,Office Supplies,Paper,1966.23,14,126.96
ORD100174,2019-01-08 14:59:45.527710554,South America,Office Supplies,Storage,3951.43,7,355.85
ORD100175,2019-01-08 16:02:51.651433028,Europe,Office Supplies,Phones,3139.55,14,210.84
ORD100176,2019-01-08 17:05:57.775155503,North America,Furniture,Phones,1669.21,7,80.35
ORD100177,2019-01-08 18:09:03.898877977,Asia,Office Supplies,Paper,740.42,1,56.83
ORD100178,2019-01-08 19:12:10.022600452,Africa,Office Supplies,Phones,3993.63,2,447.61
ORD100179,2019-01-08 20:15:16.146322926,Asia,Technology,Chairs,4671.69,5,961.66
ORD100180,2019-01-08 21:18:22.270045401,Asia,Furniture,Accessories,1041.07,13,45.17
ORD100181,2019-01-08 22:21:28.393767875,North America,Office Supplies,Chairs,1059.52,11,94.25
ORD100182,2019-01-08 23:24:34.517490349,Asia,Technology,Storage,3200.1,6,763.4
ORD100183,2019-01-09 00:27:40.641212824,Europe,Technology,Phones,2876.96,2,449.79
ORD100184,2019-01-09 01:30:46.764935298,Europe,Office Supplies,Phones,2087.84,9,114.23
ORD100185,2019-01-09 02:33:52.888657773,South America,Technology,Phones,5065.13,6,1115.21
ORD100186,2019-01-09 03:36:59.012380247,Africa,Technology,Binders,6503.06,11,1474.87
ORD100187,2019-01-09 04:40:05.136102722,Asia,Technology,Paper,1226.61,9,237.18
ORD100188,2019-01-09 05:43:11.259825196,Asia,Technology,Paper,2501.66,10,463.38
ORD100189,2019-01-09 06:46:17.383547671,North America,Office Supplies,Binders,2524.7,9,175.36
ORD100190,2019-01-09 07:49:23.507270145,Europe,Office Supplies,Tables,2189.4,11,145.39
ORD100191,2019-01-09 08:52:29.630992619,Africa,Technology,Phones,6603.57,7,1592.75
ORD100192,2019-01-09 09:55:35.754715094,South America,Office Supplies,Paper,3091.1,6,218.42
ORD100193,2019-01-09 10:58:41.878437568,Europe,Office Supplies,Phones,469.59,9,44.78
ORD100194,2019-01-09 12:01:48.002160043,South America,Technology,Binders,4692.24,7,1073.16
ORD100195,2019-01-09 13:04:54.125882517,North America,Technology,Chairs,219.67,1,33.43
ORD100196,2019-01-09 14:08:00.249604992,North America,Technology,Accessories,3995.22,4,612.82
ORD100197,2019-01-09 15:11:06.373327466,Asia,Office Supplies,Chairs,2916.65,6,213.85
ORD100198,2019-01-09 16:14:12.497049941,Africa,Office Supplies,Paper,3576.53,7,353.08
ORD100199,2019-01-09 17:17:18.620772415,South America,Furniture,Accessories,2878.5,4,-31.32
ORD100200,2019-01-09 18:20:24.744494890,Europe,Furniture,Paper,2955.15,10,-147.1
ORD100201,2019-01-09 19:23:30.868217364,North America,Technology,Binders,952.56,7,170.33
ORD100202,2019-01-09 20:26:36.991939838,Asia,Furniture,Tables,275.23,11,-10.04
ORD100203,2019-01-09 21:29:43.115662313,Asia,Office Supplies,Tables,458.77,14,29.99
ORD100204,2019-01-09 22:32:49.239384787,South America,Furniture,Phones,1073.25,12,-0.02
ORD100205,2019-01-09 23:35:55.363107262,North America,Furniture,Paper,1800.88,4,-55.45
ORD100206,2019-01-10 00:39:01.486829736,Africa,Technology,Phones,2431.86,13,536.56
ORD100207,2019-01-10 01:42:07.610552211,North America,Office Supplies,Phones,1215.6,5,82.56
ORD100208,2019-01-10 02:45:13.734274685,South America,Office Supplies,Paper,2672.97,7,257.34
ORD100209,2019-01-10 03:48:19.857997160,South America,Office Supplies,Chairs,296.99,11,27.3
ORD100210,2019-01-10 04:51:25.981719634,North America,Office Supplies,Phones,564.21,9,63.68
ORD100211,2019-01-10 05:54:32.105442108,South America,Furniture,Accessories,2051.55,12,-75.52
ORD100212,2019-01-10 06:57:38.229164583,North America,Technology,Phones,928.57,12,159.21
ORD100213,2019-01-10 08:00:44.352887057,Europe,Furniture,Binders,671.46,10,53.57
ORD100214,2019-01-10 09:03:50.476609532,North America,Office Supplies,Phones,3934.9,5,423.2
ORD100215,2019-01-10 10:06:56.600332006,North America,Technology,Chairs,3154.15,11,533.72
ORD100216,2019-01-10 11:10:02.724054481,South America,Technology,Chairs,704.45,5,113.26
ORD100217,2019-01-10 12:13:08.847776955,South America,Office Supplies,Paper,229.75,10,25.26
ORD100218,2019-01-10 13:16:14.971499430,Asia,Office Supplies,Binders,2925.34,12,182.74
ORD100219,2019-01-10 14:19:21.095221904,Asia,Technology,Paper,2815.32,9,667.54
ORD100220,2019-01-10 15:22:27.218944378,Europe,Office Supplies,Storage,1145.55,5,134.35
ORD100221,2019-01-10 16:25:33.342666853,Asia,Office Supplies,Paper,2654.71,12,173.77
ORD100222,2019-01-10 17:28:39.466389327,North America,Office Supplies,Chairs,2198.05,9,239.21
ORD100223,2019-01-10 18:31:45.590111802,South America,Office Supplies,Storage,1289.27,13,102.71
ORD100224,2019-01-10 19:34:51.713834276,Asia,Technology,Binders,6083.62,12,1392.41
ORD100225,2019-01-10 20:37:57.837556751,Asia,Technology,Phones,2561.18,7,488.52
ORD100226,2019-01-10 21:41:03.961279225,Europe,Furniture,Tables,1900.17,14,-74.94
ORD100227,2019-01-10 22:44:10.085001700,Europe,Furniture,Storage,3420.87,6,194.66
ORD100228,2019-01-10 23:47:16.208724174,North America,Technology,Binders,5992.59,1,989.19
ORD100229,2019-01-11 00:50:22.332446649,South America,Furniture,Storage,1343.42,12,119.64
ORD100230,2019-01-11 01:53:28.456169123,Europe,Office Supplies,Storage,2893.98,2,229.33
ORD100231,2019-01-11 02:56:34.579891597,Asia,Office Supplies,Paper,2405.11,11,134.06
ORD100232,2019-01-11 03:59:40.703614072,South America,Technology,Phones,257.66,3,44.54
ORD100233,2019-01-11 05:02:46.827336546,South America,Furniture,Tables,892.36,2,70.83
ORD100234,2019-01-11 06:05:52.951059021,Asia,Office Supplies,Chairs,342.95,12,24.86
ORD100235,2019-01-11 07:08:59.074781495,Europe,Furniture,Storage,4182.85,5,328.14
ORD100236,2019-01-11 08:12:05.198503970,Asia,Technology,Accessories,6137.88,4,1026.43
ORD100237,2019-01-11 09:15:11.322226444,South America,Technology,Phones,4984.21,8,981.0
ORD100238,2019-01-11 10:18:17.445948919,Africa,Furniture,Paper,1458.01,5,119.18
ORD100239,2019-01-11 11:21:23.569671393,Africa,Technology,Accessories,5392.81,14,835.03
ORD100240,2019-01-11 12:24:29.693393867,North America,Office Supplies,Phones,273.19,14,19.48
ORD100241,2019-01-11 13:27:35.817116342,Asia,Office Supplies,Phones,3041.97,7,345.84
ORD100242,2019-01-11 14:30:41.940838816,Asia,Furniture,Tables,627.17,1,24.76
ORD100243,2019-01-11 15:33:48.064561291,North America,Furniture,Chairs,72.19,3,4.15
ORD100244,2019-01-11 16:36:54.188283765,North America,Technology,Accessories,1076.5,6,252.13
ORD100245,2019-01-11 17:40:00.312006240,North America,Technology,Storage,7123.08,6,1441.42
ORD100246,2019-01-11 18:43:06.435728714,South America,Furniture,Phones,3344.16,5,256.85
ORD100247,2019-01-11 19:46:12.559451189,Asia,Technology,Tables,3873.84,10,828.52
ORD100248,2019-01-11 20:49:18.683173663,South America,Furniture,Accessories,4651.94,7,245.84
ORD100249,2019-01-11 21:52:24.806896138,North America,Furniture,Accessories,2030.94,6,-54.98
ORD100250,2019-01-11 22:55:30.930618612,Asia,Office Supplies,Chairs,151.85,14,17.57
ORD100251,2019-01-11 23:58:37.054341086,South America,Technology,Accessories,3921.71,8,900.46
ORD100252,2019-01-12 01:01:43.178063561,South America,Furniture,Storage,4021.83,3,-47.74
ORD100253,2019-01-12 02:04:49.301786035,North America,Office Supplies,Accessories,1004.05,1,90.97
ORD100254,2019-01-12 03:07:55.425508510,Asia,Furniture,Chairs,1334.39,5,8.63
ORD100255,2019-01-12 04:11:01.549230984,North America,Technology,Paper,4599.2,10,993.61
ORD100256,2019-01-12 05:14:07.672953459,Asia,Office Supplies,Phones,3546.61,9,424.04
ORD100257,2019-01-12 06:17:13.796675933,Africa,Technology,Accessories,3073.53,7,475.09
ORD100258,2019-01-12 07:20:19.920398408,Europe,Office Supplies,Accessories,356.97,4,41.65
ORD100259,2019-01-12 08:23:26.044120882,Europe,Technology,Binders,4594.59,7,722.45
ORD100260,2019-01-12 09:26:32.167843356,Europe,Furniture,Storage,1979.01,8,37.83
ORD100261,2019-01-12 10:29:38.291565831,North America,Furniture,Tables,4543.56,3,101.4
ORD100262,2019-01-12 11:32:44.415288305,Africa,Furniture,Storage,1060.42,11,-10.28
ORD100263,2019-01-12 12:35:50.539010780,Asia,Technology,Tables,3154.46,11,651.93
ORD100264,2019-01-12 13:38:56.662733254,South America,Office Supplies,Tables,3061.36,7,331.78
ORD100265,2019-01-12 14:42:02.786455729,Asia,Technology,Storage,1764.99,2,316.63
ORD100266,2019-01-12 15:45:08.910178203,South America,Furniture,Tables,1080.11,9,-42.6
ORD100267,2019-01-12 16:48:15.033900678,Asia,Technology,Accessories,5147.17,2,1097.52
ORD100268,2019-01-12 17:51:21.157623152,Africa,Office Supplies,Storage,648.45,14,66.55
ORD100269,2019-01-12 18:54:27.281345627,South America,Furniture,Storage,526.73,7,49.08
ORD100270,2019-01-12 19:57:33.405068101,North America,Technology,Paper,1889.46,11,313.56
ORD100271,2019-01-12 21:00:39.528790575,Asia,Furniture,Binders,3949.32,4,336.5
ORD100272,2019-01-12 22:03:45.652513050,Asia,Technology,Chairs,6310.44,6,1250.81
ORD100273,2019-01-12 23:06:51.776235524,South America,Technology,Chairs,795.72,2,138.12
ORD100274,2019-01-13 00:09:57.899957999,North America,Furniture,Phones,510.88,6,48.23
ORD100275,2019-01-13 01:13:04.023680473,North America,Office Supplies,Tables,3143.66,5,209.65
ORD100276,2019-01-13 02:16:10.147402948,Africa,Furniture,Tables,4539.88,13,272.47
ORD100277,2019-01-13 03:19:16.271125422,North America,Office Supplies,Tables,1917.04,11,201.18
ORD100278,2019-01-13 04:22:22.394847897,North America,Furniture,Tables,3995.17,8,58.24
ORD100279,2019-01-13 05:25:28.518570371,North America,Furniture,Binders,4267.27,3,228.29
ORD100280,2019-01-13 06:28:34.642292845,Europe,Furniture,Tables,1776.53,2,63.73
ORD100281,2019-01-13 07:31:40.766015320,Africa,Technology,Tables,3296.35,4,557.75
ORD100282,2019-01-13 08:34:46.889737794,Asia,Technology,Accessories,3759.89,3,849.69
ORD100283,2019-01-13 09:37:53.013460269,South America,Office Supplies,Tables,2436.59,2,280.11
ORD100284,2019-01-13 10:40:59.137182743,Asia,Furniture,Tables,2112.36,7,49.21
ORD100285,2019-01-13 11:44:05.260905218,Africa,Technology,Phones,3083.62,9,769.15
ORD100286,2019-01-13 12:47:11.384627692,South America,Technology,Storage,523.84,1,100.99
ORD100287,2019-01-13 13:50:17.508350167,Africa,Furniture,Phones,263.26,1,5.78
ORD100288,2019-01-13 14:53:23.632072641,North America,Furniture,Chairs,3175.09,12,162.2
ORD100289,2019-01-13 15:56:29.755795116,South America,Furniture,Phones,2223.48,4,-49.22
ORD100290,2019-01-13 16:59:35.879517590,North America,Office Supplies,Phones,284.09,6,32.14
ORD100291,2019-01-13 18:02:42.003240064,Asia,Furniture,Tables,984.7,8,69.12
ORD100292,2019-01-13 19:05:48.126962539,Asia,Technology,Binders,4909.11,14,1164.65
ORD100293,2019-01-13 20:08:54.250685013,South America,Technology,Storage,3314.29,10,699.17
ORD100294,2019-01-13 21:12:00.374407488,South America,Furniture,Accessories,3281.59,9,270.94
ORD100295,2019-01-13 22:15:06.498129962,Africa,Office Supplies,Tables,1497.71,11,146.17
